Un.,Código,Descrição
KG,120054,"CHAPA GQ 5/8 (15,8) 1010"
KG,120924,"CHAPA FQ #12 (1,20 x 3,80m) 1010"
KG,134062NAC,TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm
KG,134172,"TUBO SCHEDULLE 80 - 1"" S/C"
KG,134892,"TUBO SCHEDULLE 80 - 3.1/2"""
Un,240462,CAPS DE VINIL DMPC 0740-1A
Un,025782,MANCAL DO CILINDRO - CBH 8T
Un,032233,PINO DE ARTICULAÇÃO [CBH/CBHM-1E]
KG,112203,"ACO TREF. RED. SAE-1020 - 1/2"""
KG,120157,"CHAPA GQ 3/8 (9,53) 1010"
KG,120200,"CHAPA GQ 1/4 (1,20 x 4,05m) 1010"
KG,120273,"CHAPA FQ 3,75mm. SAE-1006"
KG,120303,"CHAPA FQ 3/16 (1,20 x 6,00m) 1010"
Un,481040,SUSPIRO TANQUE
Un,023322,APOIO DA MANGUEIRA CBHM 2 EIXOS
KG,112525,"ACO TREF. RED. SAE-1020 - 5/8"""
KG,113050,"ACO TREF. RED. SAE-1020 - 1.1/2"""
Un,116613,COMP. NAVAL SOMASSOALHO 1890X 450 X 20MM
Un,116615,COMP. NAVAL SOMASSOALHO 3870 X 450 X 20MM
Un,116617,COMP. NAVAL SOMASSOALHO 3890 X 1795 X 20MM
KG,120277,"CHAPA FQ #14 (1,50 x 4,00m) 1010"
KG,120306,"CHAPA FQ #12 (1,50 x 3,00m) 1010"
KG,120650,"CHAPA GQ 5/16(7,94) 1010"
KG,126202,"AÇO CHATO LAM 1/2 X 3"" SAE-1020"
KG,134063NAC,TUBO RETANGULAR 100 X 80 X 4.75
Un,200391,KIT BOMBA MULTI-FLEX SEMI-COMPLETO (SEM GAIOLA)
Un,209911,ENGATE RÁPIDO C2 COM ESCAMA 050030005
Un,212028,"ARRUELA LISA 7/8"""
Un,212091,"ARRUELA LISA 3/8"" ZB CHAPA 1,5MM"
Un,212093,"ARRUELA LISA 3/4"" CHAPA 3,75MM"
Un,212095,"ARRUELA LISA 1"" CH 3/16"""
Un,212350,"ARR. DE PRES. MÉDIA - ZB 5/16"""
Un,212600,"ARR. DE PRES. MÉDIA - ZB 3/8"""
Un,213355,"COTOVELO 90° FG 2"""
Un,213356,"ADAPTADOR SIMPLES RANHURA DUPLA 2"""
Un,213602,ABRACADEIRA P/ MANGOTE MS 5462
Un,214104,RODA 6 FUROS RS (PARAF. 1/2)
Un,214105,RODA 6 FUROS RD (PARAF. 5/8)
Un,214108,RODA 6 FUROS TANDEM (PARAF. 5/8)
Un,218455,"CAMARA AR 750X16 (16"" L430)"
Un,222058,"GRAMPO 1/2""x55x155-B P/ FXS."
Un,222217,"PINO TRAVA BUSSAL 3/8 X 2.1/4"" C/ARGOLA"
Un,222401,"CUBO RODA F. FUND. NOD. GGG-50"" F6"
Un,222859,CONTRA PINO 3/16 X 3
Un,234205,GRAXEIRO 1/4 UNF RETO
Un,238406,MOLA - COMPL GUIA DO ÊMBOLO - CARR MELÃO 025086
Un,240084,TEE C/PORCA ANILHA 3/4 16F UNF
Un,240217,"MANG A/P SAE-100 3/8"" x 1400mm TERM. RETO/RETO JIC 3/4"""
Un,240229,"MANG A/P SAE-100 3/8"" x 400mm TERM. RETO/RETO JIC 3/4"""
Un,240233,"MANG A/P SAE-100 3/8"" X 400 TERM. 90° JIC 3/4""FEMEA X RETO JIC 3/4"" UNF FEMEA"
Un,240234,"MANG A/P SAE-100 3/8"" X 2800 C/ TERM. RETO JIC 3/4"" UNF FEMEA"
M,240235,"MANG DE SUCÇÃO AZUL 2"""
Un,240471,CILINDRO TELESCÓPICO CBH 6T 10 OC NV
Un,240474,CIL. COMPL. CBHM/CBH CÓD.4403-01
Un,240485,CIL. COMPL. CBHM / 6000 CÓD.4403-03
Un,255452,PARAF RODA 5/8-18Fx2.3/32 - 216R
Un,255464,"PARAF RODA 1/2 X 1.3/4"" CF. DES."
Un,256328,PARAF FRANC 5/16X1.1/2 C/PO.SX.
Un,258003,PARAF SEX 3/8 X 1.1/4 UNC ZB
Un,258090,PARAF SEX 5/16X 3/4 UNC ZB
Un,258155,PARAF SEX 1/2 X 3.1/2 UNC ZB
Un,258234,PARAF SEX 3/4 X 2 UNC ZB
Un,258416,PARAF SEX 5/16X 1.1/4 UNC
Un,258570,PARAF SEX 3/8 X 2 UNC
Un,258820,"PARAF SEX 1/2"" X 4.1/2"" 8.8 UNF"
Un,260101,PARAF SEX 1/2 X 1.1/2 UNC ZB
Un,260400,PARAF SEX 5/8 X 1.3/4 8.8UNF ZB
Un,260826,BUCHA FLUTUANTE PARA FEIXE DE MOLAS
Un,268150,PNEU 7.50-16 IMPL (16TT 10PR RA45)
Un,272401,"PORCA CAST. DE 1"" UNS-14 FIOS ZB"
Un,272504,PORCA CAST 1.1/2 S/COROA - UNC ZB
Un,273405,"PORCA CÔN. 1/2"" UNF - CH-13/16"" ZB"
Un,273600,"PORCA CON. 5/8"" UNF CH-1.1/16"" ZB"
Un,274124,PORCA SEX 1/2 UNC ZB
Un,274252,"PORCA SEX 5/16"" UNC ZB"
Un,274288,"PORCA SEX 5/8"" UNF ZB"
Un,288986,ROLAMENTO 30207 SPZ/ZWZ/GBR/1ª L
Un,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L
Un,289206,ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L
Un,292023,"LUVA SIMPLES GALV 2"" BSP"
Un,292254,"VALVULA DE GAVETA 2"""
Un,298876,"MACHO ENG RÁPIDO DE 1/2"" C/PROTETOR"
L,313131,ESM. PU ACRILICO LARANJA
L,313133,ESM. PU ACRILICO VERMELHO
KG,318417,TINTA PÓ 26 R LI CINZA FUMAÇA EMA 022 167
KG,318418,TINTA PÓ 27 W VERMELHA W81400 CÓD. WEG 10005853
Un,443785,PINO ENG C/ARRUELA ICAM (M98) FA
Un,032232,PINO DO BRACO - TANDEM CBH/CBHM M20
KG,112501,"ACO TREF. RED. SAE-1020 - 5/16"""
KG,120250,"CHAPA #11(3,04) A36/CIVIL300"
KG,120255,"CHAPA FQ #13 (1,20 x 3,51m) 1010"
KG,120267,"CHAPA FQ #14 (1,20 x 3,50m) 1010"
KG,120548,"CHAPA FQ #12 (1,50 x 4,00m) 1010"
Un,212092,"ARRUELA LISA 1/2"" CHAPA 1/8"" ZB OU ZA"
Un,222057,"GRAMPO 1/2""x55x110-B P/ FXS."
KG,226105,CORRENTE ELO 3/16 F. POLIDO
Un,260265,PARAF SEX 1/2 X 1.1/4 8.8UNC ZB
Un,260484,PARAF SEX 1/2 X 1.1/4 UNC
Un,260836,PARAF SEX 1/2 X 2.1/4 8.8UNC ZB
Un,262728,"RODA ARO K 5 X 14"" - 6 FUROS"
Un,274203,"PORCA SEX 3/4"" UNC ZB"
Un,284282,RETENTOR REF 00793 BA (AR-5006)
Un,486553,PINO DA TAMPA TRAS/ROLD CBH/CBHM
Un,490430,PINO MENOR CILINDRO - ACESS CBHM
Un,496996,PINO MAIOR CILINDRO - ACESS CBH
KG,802013,GRAXA LUBRIFICANTE
KG,112434,"ACO TREF. RED. SAE-1020 - 3/4"""
KG,112458,"ACO TREF. RED. SAE-1020 - 3/8"""
KG,120133,"CHAPA FQ #14 (1,20 x 5,60m) 1010"
KG,126901,AÇO CHATO LAM 3/4 X 3 SAE-1020
KG,134017NAC,TUBO RETANGULAR 150 X 100 X 6.35 X 6000
KG,134055NAC,TUBO QUADRADO 120 X 120 X 8.00
KG,134157,TUBO MECANICO 50 X 32 ST-52
KG,134170,"TUBO SCHEDULLE 80 - 1.1/2"""
Un,212507,"ARR. DE PRES. MÉDIA - ZB 1/4"""
Un,222150,CONTRA PINO 1/4 X 2.1/2
Un,222356,"GRAMPO R 4,5 X 80 ZB"
Un,238405,MOLA DA TRAVA DA CBHM
Un,240634,MACACO MOD. RAL-611 (CBHs)
Un,257645,"PARAF ALLEN 1/4 X 2"" NC C/CAB."
Un,274033,"PORCA CAST. DE 7/8"" UNF ZB"
Un,274409,"PORCA SEX 1/4"" UNC ZB"
L,313136,ESM. PU ACRILICO VERDE
Un,428437,CORRENTE COMPLEMENTAR CARROC
Un,443426,PINO FEIXE MOLA-ROD U4 P4P2
KG,110012,ACO LAMINADO RED 2.1/2 1045
KG,110358,ACO LAMINADO RED 2 1045
KG,134031NAC,"TUBO QUADRADO 100,00 X 100,00 X 6.3MM"
KG,134132,TUBO MECANICO 32 X 20 ST-52
Un,212258,"ARR. DE PRES. MÉDIA - ZB 3/4"""
Un,222185,"PINO TRAVA C/ ARG. 3/8"" X 2"" - ZA."
Un,292205,"VALVULA DE GAVETA 1.1/2"""
L,313210,CATALISADOR PU 1/1 5058 COMP B
KG,120307,"CHAPA FQ #12 (1,20 x 4,00m) 1010"
KG,120352,"CHAPA GQ 1/2 (12,7) 1010"
KG,134212,TUBO MECANICO 56 X 40 ST-52
Un,240473,TERMINAL MACHO - CIL. CBH's
Un,258532,"PARAF SEX 1/2 X 2 "" UNC ZB"
Un,274306,"PORCA SEX 5/8"" UNC ZB"
KG,350102,ARAME COBREADO MIG 1.2 (ER70S6)
KG,112215,"ACO TREF. RED. SAE-1020 - 1"""
KG,126457,AÇO CHATO LAM 3/8 X 2 SAE-1020
KG,134018NAC,TUBO RETANGULAR 200 X 100 X 4.75
KG,134224,TUBO MECANICO 71 X 43 ST-52
KG,134375,TUBO 1/2 DIN 2440
Un,222326,PINO ELÁSTICO 4 X 26MM
Un,240640,"CIL. COMPL. CBHM/CBH CÓD. 4.1/2"" x 2"" x 335 mm"
Un,258544,"PARAF SEX 1/2 X 3"" UNC ZB"
M,299108,"CABO DE ACO 3/16"" GALV. 6X7 + AF."
L,313134,ESM. PU ACRILICO AMARELO
L,313137,ESM. PU CINZA OPALESCENTE
Un,025656,TRAVA DO GRAMPO DA MOLA - ACESS CARRETAS (NOV13...)
Un,031690,CONJUNTO APOIO DA MANGUEIRA GRADIL - TANQUES
Un,031694,CONJUNTO APOIO DA MANGUEIRA - TANQUES
KG,110541,ACO LAMINADO RED 3/8 1020
KG,120706,"CHAPA FQ #13 (1,20 x 2,40m) 1010"
KG,134144,"TUBO SCHEDULLE 80 - 2"" C/C"
KG,134430,"TUBO SCHEDULLE 40 - 1.1/4"""
KG,134900,"TUBO SCHEDULLE 40 - 3.1/2"""
Un,282005,REBITE DE ALUMINIO 4X6
M,299534,"LONA DE FREIO MOLDADA 1/4X2"""
L,313135,ESM. PU ACRILICO AZUL
KG,318419,TINTA PÓ 26 R LI AZUL CEMAG BR CÓD. WEG CDP 13505
KG,110139,ACO LAMINADO RED 4 1045
KG,110346,ACO LAMINADO RED 2 1020
KG,110784,ACO LAMINADO RED 5.1/2 1045
KG,120253,"CHAPA FQ #13 (1,20 x 5,60m) 1010"
KG,120258,"CHAPA FQ #13 (1.20 x 4,00m) 1010"
KG,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300
KG,134388,"TUBO SCHEDULLE 40 - 3/8"" S/C 6.30 METROS"
